,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing
33501,JALAN KLANG LAMA (OLD KLANG ROAD),350000.0,3.0,2.0,1.0,Serviced Residence,950.0,Partly Furnished
33503,KL CITY,288000.0,2.0,2.0,0.0,Apartment,750.0,Unfurnished
33504,KLCC,3300000.0,3.0,3.0,2.0,Serviced Residence,1688.0,Unfurnished
33505,MONT KIARA,1650000.0,4.0,5.0,0.0,Condominium,2257.0,Partly Furnished
33506,MONT KIARA,2400000.0,5.0,5.0,3.0,Condominium,3729.0,Partly Furnished
33507,JALAN KLANG LAMA (OLD KLANG ROAD),358000.0,3.0,2.0,2.0,Condominium,1175.0,Fully Furnished
33508,BUKIT JALIL,318000.0,3.0,2.0,1.0,Apartment,792.0,Partly Furnished
33509,CHERAS,899000.0,5.0,4.0,0.0,3-sty Terrace/Link House,1300.0,Unfurnished
33510,TAMAN TUN DR ISMAIL,2400000.0,4.0,3.0,2.0,Serviced Residence,2043.0,Unfurnished
33511,TITIWANGSA,4072500.0,5.0,6.0,0.0,Bungalow,4477.5,Unfurnished
33512,DUTAMAS,760000.0,1.5,1.0,1.0,Serviced Residence,672.0,Unfurnished
33513,SRI HARTAMAS,3380000.0,5.0,6.0,0.0,Bungalow,4477.5,Partly Furnished
33514,WANGSA MAJU,459000.0,2.0,2.0,2.0,Condominium,1152.0,Unfurnished
33515,WANGSA MAJU,400000.0,3.0,2.0,1.0,Serviced Residence,800.0,Partly Furnished
33516,KLCC,4072500.0,3.0,3.0,2.0,Serviced Residence,1786.0,Unfurnished
33517,SRI PETALING,435000.0,3.0,2.0,1.0,Condominium,946.0,Fully Furnished
33518,SUNGAI BESI,376000.0,2.0,2.0,0.0,Serviced Residence,800.0,Unfurnished
33519,CHERAS,499000.0,4.0,3.0,2.0,2-sty Terrace/Link House,1160.0,Partly Furnished
33520,AMPANG HILIR,4072500.0,5.0,5.0,4.0,Condominium,4477.5,Partly Furnished
33521,KLCC,4072500.0,4.0,3.0,0.0,Condominium,2250.0,Partly Furnished
33522,TAMAN TUN DR ISMAIL,1530000.0,5.0,3.0,2.0,Condominium,2800.0,Partly Furnished
33523,CHERAS,555000.0,4.0,3.0,0.0,2-sty Terrace/Link House,1500.0,Partly Furnished
33524,SUNGAI BESI,2900000.0,5.0,5.0,6.0,Semi-detached House,3600.0,Unfurnished
